Baker Hughes joins oil rivals in pausing Russian operations - Fox Business2022-03-19T19:33:06Z,Baker Hughes joins oil rivals in pausing Russian operations - Fox Business,U.S. oil field services company Baker Hughes said Saturday that it was suspending new investments for its Russia operations.,https://www.foxbusiness.com/markets/baker-hughes-joins-oil-rivals-pausing-russian-operations,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2022/03/0/0/AP22078560809164.jpg?ve=1&tl=1,"{""id"":null,""name"":""Fox Business""}",,GENERAL,2022-03-19 14:33:06
Disney Investigating Greys Anatomy Writer Who Allegedly Faked Her Own Medical History  E NEWS20220319T024446Z,Disney Investigating Grey's Anatomy Writer Who Allegedly Faked Her Own Medical History - E! NEWS,"Grey's Anatomy writer Elisabeth Finch has been placed on administrative leave pending an investigation into claims that she fabricated parts of her medical history, E! News has learned.",https://www.eonline.com/news/1323747/disney-investigating-greys-anatomy-writer-who-allegedly-faked-her-own-medical-history,"https://akns-images.eonline.com/eol_images/Entire_Site/2022218/rs_1200x1200-220318142757-1200-Elisabeth-FinchGreys-Anatomy.jpg?fit=around%7C1080:1080&output-quality=90&crop=1080:1080;center,top","{""id"":null,""name"":""Eonline.com""}",,GENERAL,2022-03-18 21:44:46
Priyanka Chopra and Nick Jonas Celebrate Their First Holi Since Welcoming Baby - E! NEWS2022-03-19T20:41:21Z,Priyanka Chopra and Nick Jonas Celebrate Their First Holi Since Welcoming Baby - E! NEWS,"Two months after welcoming their first child, Priyanka Chopra and Nick Jonas celebrated the Hindu festival of Holi at a private home in Los Angeles.",https://www.eonline.com/news/1323809/priyanka-chopra-and-nick-jonas-celebrate-their-first-holi-since-welcoming-baby,"https://akns-images.eonline.com/eol_images/Entire_Site/2022219/rs_1200x1200-220319093348-1200-nick-jonas-priyanka-chopra-instagram-holi-031822.jpg?fit=around%7C1080:1080&output-quality=90&crop=1080:1080;center,top","{""id"":null,""name"":""Eonline.com""}",,GENERAL,2022-03-19 15:41:21
4 Marines die in NATO drill in Norway  CBS News20220319T140155Z,4 Marines die in NATO drill in Norway - CBS News,"The Marines, assigned to 2nd Marine Aircraft Wing, II Marine Expeditionary Force, were taking part in a NATO exercise called Cold Response.",https://www.cbsnews.com/news/osprey-v-22-crash-norway/,https://cbsnews2.cbsistatic.com/hub/i/r/2012/05/23/5c34223c-d00f-403b-aea4-976116d38fb4/thumbnail/1200x630/8f361e2e2e365ce4409366d3f8b137d5/fleetweek_120523_62.jpg,"{""id"":""cbs-news"",""name"":""CBS News""}",,GENERAL,2022-03-19 09:01:55
Naomi Irion missing Teen possibly kidnapped in her own car from Walmart parking lot police say  KTRKTV20220317T214500Z,"Naomi Irion missing: Teen possibly kidnapped in her own car from Walmart parking lot, police say - KTRK-TV","Naomi Irion missing: A teen's disappearance from a Fernley, NV Walmart appears to be a kidnapping that was caught on video, police say.",https://abc13.com/naomi-irion-missing-fernley-kidnapping-nv-walmart/11659245/,https://cdn.abcotvs.com/dip/images/11659178_031722-wls-reno-missing-woman-11avo-vid.jpg?w=1600,KTRK-TV,,GENERAL,2022-03-17 16:45:00
"Russian court extends US basketball star Brittney Griner's arrest until May 19, reports TASS - CNN2022-03-17T14:14:00Z","Russian court extends US basketball star Brittney Griner's arrest until May 19, reports TASS - CNN","A Moscow court announced it has extended the arrest of American basketball star Brittney Griner until May 19, according to Russian state news agency TASS.",https://www.cnn.com/2022/03/17/sport/brittney-griner-russia-detention-extended-spt-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220311023551-wnba-brittney-griner-052019-file-super-tease.jpg,CNN,,GENERAL,2022-03-17 09:14:00
Biden on Putin: 'I think he is a war criminal' - CNN2022-03-17T12:25:08Z,Biden on Putin: 'I think he is a war criminal' - CNN,"President Joe Biden called Russian President Vladimir Putin a ""war criminal"" Wednesday, a rhetorical leap that came as civilian deaths mount in Ukraine.",https://www.cnn.com/2022/03/16/politics/biden-calls-putin-a-war-criminal/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220316151351-02-joe-biden-covid-file-restricted-super-tease.jpg,CNN,,GENERAL,2022-03-17 07:25:08
Mortgage rates rise above 4 for the first time since 2019  CNN20220317T155828Z,Mortgage rates rise above 4% for the first time since 2019 - CNN,"Mortgage rates climbed past 4% for the first time since May 2019. The 30-year fixed-rate mortgage averaged 4.16% in the week ending March 17, up from 3.85% the week before, according to Freddie Mac.",https://www.cnn.com/2022/03/17/homes/mortgage-rates-climb-march-17/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220316173932-01-us-mortgage-rates-march-17-super-tease.jpg,CNN,,GENERAL,2022-03-17 10:58:28
Mortgage rates rise above 4% for the first time since 2019 - CNN2022-03-17T15:58:28Z,Mortgage rates rise above 4% for the first time since 2019 - CNN,"Mortgage rates climbed past 4% for the first time since May 2019. The 30-year fixed-rate mortgage averaged 4.16% in the week ending March 17, up from 3.85% the week before, according to Freddie Mac.",https://www.cnn.com/2022/03/17/homes/mortgage-rates-climb-march-17/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220316173932-01-us-mortgage-rates-march-17-super-tease.jpg,CNN,,GENERAL,2022-03-17 10:58:28
Watch NASA roll mega Artemis I moon rocket out to the launchpad - CNN2022-03-17T14:06:26Z,Watch NASA roll mega Artemis I moon rocket out to the launchpad - CNN,"On Thursday, NASA's 322-foot-tall Artemis I stack, including the mega SLS rocket and Orion capsule, will begin rolling out of the Vehicle Assembly Building at Cape Canaveral and undergo an 11-hour, 4-mile ride to the launchpad aboard an Apollo-era giant NASA …",https://www.cnn.com/2022/03/17/world/nasa-artemis-i-rollout-pad-scn/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220316184257-01-artemis-1-rollout-super-tease.jpg,CNN,,GENERAL,2022-03-17 09:06:26
"Say hello to Horridus, one of the most complete Triceratops fossils found on Earth - CNN20220320T060331Z","Say hello to Horridus, one of the most complete Triceratops fossils found on Earth - CNN","The dinosaur was found in Montana after a rainstorm, then excavated and transported to Australia. A permanent exhibit recently opened in the Melbourne Museum, allowing visitors to view the fearsome animal up close.",https://www.cnn.com/2022/03/20/world/horridus-triceratops-skeleton-melbourne-scn/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220317141423-01-horridus-triceratops-australia-super-tease.jpg,"{""id"":""cnn"",""name"":""CNN""}",,GENERAL,2022-03-20 01:03:31
AllRussian cosmonaut crew launches to International Space Station  CNN20220318T195259Z,All-Russian cosmonaut crew launches to International Space Station - CNN,"Russian cosmonauts Oleg Artemyev, Denis Matveev and Sergey Korsakov launched aboard a Soyuz MS-21 spacecraft from the Baikonur Cosmodrome launchpad in Kazakhstan around 11:55 a.m. ET. The trip to the space station should take just over three hours.",https://www.cnn.com/2022/03/18/world/russian-soyuz-space-station-launch-scn/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220318120044-russian-soyuz-ms-21-crew-super-tease.jpg,"{""id"":""cnn"",""name"":""CNN""}",,GENERAL,2022-03-18 14:52:59
Putin celebrates anniversary of Crimea annexation at stadium rally amid Russias onslaught of Ukraine  CNN20220318T210900Z,Putin celebrates anniversary of Crimea annexation at stadium rally amid Russia's onslaught of Ukraine - CNN,"Russian President Vladimir Putin justified the invasion of Ukraine at a rally in Moscow on Friday, where his speech was abruptly cut off on the state TV broadcast in what the Kremlin described as a technical error.",https://www.cnn.com/2022/03/18/europe/russia-putin-ukraine-invasion-rally-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220318132508-russia-crimea-annexation-anniversary-puting-031822-super-tease.jpg,"{""id"":""cnn"",""name"":""CNN""}",,GENERAL,2022-03-18 16:09:00
Transgender swimmer Lia Thomas finishes 5th in NCAA womens 200yard freestyle final  CNN20220319T000000Z,Transgender swimmer Lia Thomas finishes 5th in NCAA women's 200-yard freestyle final - CNN,University of Pennsylvania swimmer Lia Thomas finished tied for fifth Friday in the women's 200-yard freestyle final at the NCAA swimming and diving championships at Atlanta.,https://www.cnn.com/2022/03/18/sport/lia-thomas-ncaa-swimming-championships-spt/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220318170518-lia-thomas-file-031722-super-tease.jpg,"{""id"":""cnn"",""name"":""CNN""}",,GENERAL,2022-03-18 19:00:00
Red Sox To Sign Trevor Story - MLB Trade Rumors20220320T141500Z,Red Sox To Sign Trevor Story - MLB Trade Rumors,"The Red Sox are in agreement with Trevor Story on a contract for $140MM, per Bob Nightengale of USA Today. &hellip;",https://www.mlbtraderumors.com/2022/03/red-sox-to-sign-trevor-story.html,https://cdn.mlbtraderumors.com/files/2022/03/trevor-story-1024x682.jpg,"{""id"":null,""name"":""MLB Trade Rumors""}",,GENERAL,2022-03-20 09:15:00
More Details On Deshaun Watson Sweepstakes; Latest On Baker Mayfield - profootballrumors.com20220320T155700Z,More Details On Deshaun Watson Sweepstakes; Latest On Baker Mayfield - profootballrumors.com,Though there were four finalists for QB Deshaun Watson before the Browns and Texans completed the blockbuster trade that sent &hellip;,https://www.profootballrumors.com/2022/03/more-details-on-deshaun-watson-sweepstakes-latest-on-baker-mayfield,https://cdn.profootballrumors.com/files/2021/03/USATSI_15365600-1024x739.jpg,"{""id"":null,""name"":""profootballrumors.com""}",,GENERAL,2022-03-20 10:57:00
Printable NCAA tournament bracket: Download a copy of the men’s 2022 March Madness basketball bracket pdf - The Athletic2022-03-17T14:37:23Z,Printable NCAA tournament bracket: Download a copy of the men’s 2022 March Madness basketball bracket pdf - The Athletic,Download The Athletic's 2022 NCAA Tournament bracket here!,https://theathletic.com/3180323/2022/03/17/printable-ncaa-tournament-bracket-download-a-copy-of-the-mens-2022-march-madness-basketball-bracket-pdf/,https://cdn.theathletic.com/app/uploads/2022/03/13143854/GettyImages-1384685685-1024x683.jpg,The Athletic,,GENERAL,2022-03-17 09:37:23
Stranger of Paradise Final Fantasy Origins is wonderfully cringe  Polygon20220318T220000Z,Stranger of Paradise: Final Fantasy Origins is wonderfully cringe - Polygon,"This week in Polygon’s newsletter Patch Notes, we explain why Team Ninja was the perfect video game developer to take the Final Fantasy series in the strangest direction.",https://www.polygon.com/gaming/2022/3/18/22984719/final-fantasy-stranger-of-paradise-cringe-camp,https://cdn.vox-cdn.com/thumbor/qGbRim8mbXlhHcl5S7Fsx1U-gzM=/0x0:3840x2010/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23309788/STRANGER_OF_PARADISE_FINAL_FANTASY_ORIGIN_20220309110247.jpg,"{""id"":""polygon"",""name"":""Polygon""}",,GENERAL,2022-03-18 17:00:00
Apple M1 Ultra Chip Is Nearly 3 Times Bigger Than AMDs Ryzen CPUs Benchmarks Show Desktop Intel  AMD CPUs Still Ahead  Wccftech20220319T093120Z,"Apple M1 Ultra Chip Is Nearly 3 Times Bigger Than AMD’s Ryzen CPUs, Benchmarks Show Desktop Intel & AMD CPUs Still Ahead - Wccftech",Apple's M1 Ultra SOC has been pictured & is nearly 3 times the size of AMD's Ryzen CPUs while offering lackluster performance versus Intel.,https://wccftech.com/apple-m1-ultra-chip-is-nearly-3-times-bigger-amd-ryzen-cpus-benchmarks-show-intel-amd-cpus-still-ahead/,https://cdn.wccftech.com/wp-content/uploads/2022/03/2022-03-19_14-00-05-740x386.png,"{""id"":null,""name"":""Wccftech""}",,GENERAL,2022-03-19 04:31:20
Community mourns life of deputy killed during SWAT operation - KIRO Seattle2022-03-17T13:38:15Z,Community mourns life of deputy killed during SWAT operation - KIRO Seattle,Two deputies with the Pierce County Sheriff’s Department were shot and wounded on Tuesday. Here's what we know about them.,https://www.kiro7.com/news/local/what-know-about-2-pierce-county-deputies-shot-spanaway/LHHXLEQ7ZBHSXJN5B7RYLFGKX4/,https://cmg-cmg-tv-10090-prod.cdn.arcpublishing.com/resizer/uwLCQRyo08H69fVzLtNrKnjy4DA=/1440x810/filters:format(jpg):quality(70)/d1hfln2sfez66z.cloudfront.net/03-17-2022/t_4a2fd9b0855a41b6baba96f2590ecdd8_name_Deputy_Dom_Calata_sized.jpg,KIRO Seattle,,GENERAL,2022-03-17 08:38:15
Live updates: Russia invades Ukraine - CNN20220320T163229Z,Live updates: Russia invades Ukraine - CNN,"US officials confirmed to CNN that Russia launched hypersonic missiles against Ukraine last week, the first known use of such missiles in combat. Follow here for live news updates.",https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-20-22/index.html,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/7a9d861e-0928-46c1-994c-7679015d6eb6.jpg,"{""id"":""cnn"",""name"":""CNN""}",,GENERAL,2022-03-20 11:32:29
‘Highly pathogenic’ Avian flu found in St. Louis County - KTVI Fox 2 St. Louis2022-03-16T21:08:49Z,‘Highly pathogenic’ Avian flu found in St. Louis County - KTVI Fox 2 St. Louis,Four people were monitored for symptoms but have been released. Bird-to-human transmission is considered rare.,https://fox2now.com/news/highly-pathogenic-avian-flu-found-in-st-louis-county/,https://fox2now.com/wp-content/uploads/sites/14/2022/03/GettyImages-1299284528.jpg?w=1280,KTVI Fox 2 St. Louis,,GENERAL,2022-03-16 16:08:49
Troy Kotsur Best Supporting Actor CODA  Oscar Nominees 2022  PEOPLE  People20220319T130009Z,"Troy Kotsur, Best Supporting Actor 'CODA' | Oscar Nominees 2022 | PEOPLE - People",The Best Supporting Actor nominee opens up how his role as a deaf father of a hearing teen in CODA has changed his family's life and the gifts of gratitude h...,https://www.youtube.com/watch?v=8zNUmRYahRM,https://i.ytimg.com/vi/8zNUmRYahRM/maxresdefault.jpg,"{""id"":null,""name"":""YouTube""}",,GENERAL,2022-03-19 08:00:09
Friends reveal how early they predicted Ketanji Brown Jackson would serve on the Supreme Court  CBS Mornings20220318T133127Z,Friends reveal how early they predicted Ketanji Brown Jackson would serve on the Supreme Court - CBS Mornings,"When Judge Ketanji Brown Jackson faces confirmation hearings to serve as the first African-American woman on the U.S. Supreme Court, she will have the suppor...",https://www.youtube.com/watch?v=C0oHxp8H6Ho,https://i.ytimg.com/vi/C0oHxp8H6Ho/maxresdefault.jpg,YouTube,,GENERAL,2022-03-18 08:31:27
SCOTUS Nominee Ketanji Brown Jackson To Appear Before Senate Judiciary Committee Starting Monday - CBS Los Angeles20220320T170309Z,SCOTUS Nominee Ketanji Brown Jackson To Appear Before Senate Judiciary Committee Starting Monday - CBS Los Angeles,"Jason Whitehead, an associate professor with California State University, Long Beach appeared Sunday to discuss the appearance of Ketanji Brown Jackson, who ...",https://www.youtube.com/watch?v=UfNZ0YFqnOI,https://i.ytimg.com/vi/UfNZ0YFqnOI/hqdefault.jpg,"{""id"":null,""name"":""YouTube""}",,GENERAL,2022-03-20 12:03:09
Elden Ring The Biggest Changes in the 103 Patch  IGN20220318T220015Z,Elden Ring: The Biggest Changes in the 1.03 Patch - IGN,"Just a few weeks after its release, From Software has dropped a fairly major patch that adds a new NPC, new quest steps for existing ones, and adjusts a bunc...",https://www.youtube.com/watch?v=hrNTlXRo0K0,https://i.ytimg.com/vi/hrNTlXRo0K0/maxresdefault.jpg,"{""id"":null,""name"":""YouTube""}",,GENERAL,2022-03-18 17:00:15
Mario Kart 8 Deluxe  Booster Course Pass Graphics Comparison  GameSpot20220319T013007Z,Mario Kart 8 Deluxe - Booster Course Pass Graphics Comparison - GameSpot,"With Wave 1 of the new Booster Course Pass coming to Mario Kart 8 Deluxe and bringing back courses from previous Mario Kart games, we've put the old and new ...",https://www.youtube.com/watch?v=ooQa3koR85Q,https://i.ytimg.com/vi/ooQa3koR85Q/hqdefault.jpg,"{""id"":null,""name"":""YouTube""}",,GENERAL,2022-03-18 20:30:07
Nazanin Zaghari-Ratcliffe and Anoosheh Ashoori arrive in UK after being freed from Iran - BBC.com2022-03-17T01:43:28Z,Nazanin Zaghari-Ratcliffe and Anoosheh Ashoori arrive in UK after being freed from Iran - BBC.com,British-Iranian nationals Nazanin Zaghari-Ratcliffe and Anoosheh Ashoori touched down at RAF Brize Norton just after 01:00 GMT.,https://www.bbc.com/news/uk-60775180,https://ichef.bbci.co.uk/news/1024/branded_news/CBD7/production/_123738125_gettyimages-1385863020.jpg,BBC News,,GENERAL,2022-03-16 20:43:28
Cramers week ahead Im begging you to sell stocks of unprofitable companies  CNBC20220318T224524Z,Cramer’s week ahead: ‘I’m begging you’ to sell stocks of unprofitable companies - CNBC,"Next week could be an opportunity for investors to shuffle holdings around, the ""Mad Money"" host said Friday.",https://www.cnbc.com/2022/03/18/cramers-week-ahead-sell-stocks-of-unprofitable-companies.html,https://image.cnbcfm.com/api/v1/image/104434800-IMG_3503r.jpg?v=1493381618&w=1920&h=1080,"{""id"":null,""name"":""CNBC""}",,GENERAL,2022-03-18 17:45:24
